,emotion_label,source,actors,path,emotion2,emotion3,emotion4,emotion5
0,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_book_fear.wav,negative_female,fear_female,fear,negative
1,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_cool_fear.wav,negative_female,fear_female,fear,negative
2,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_ditch_fear.wav,negative_female,fear_female,fear,negative
3,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_deep_fear.wav,negative_female,fear_female,fear,negative
4,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_dodge_fear.wav,negative_female,fear_female,fear,negative
5,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_bath_fear.wav,negative_female,fear_female,fear,negative
6,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_bean_fear.wav,negative_female,fear_female,fear,negative
7,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_bought_fear.wav,negative_female,fear_female,fear,negative
8,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_back_fear.wav,negative_female,fear_female,fear,negative
9,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_dip_fear.wav,negative_female,fear_female,fear,negative
10,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_beg_fear.wav,negative_female,fear_female,fear,negative
11,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_chalk_fear.wav,negative_female,fear_female,fear,negative
12,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_cause_fear.wav,negative_female,fear_female,fear,negative
13,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_chair_fear.wav,negative_female,fear_female,fear,negative
14,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_bite_fear.wav,negative_female,fear_female,fear,negative
15,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_burn_fear.wav,negative_female,fear_female,fear,negative
16,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_base_fear.wav,negative_female,fear_female,fear,negative
17,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_check_fear.wav,negative_female,fear_female,fear,negative
18,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_date_fear.wav,negative_female,fear_female,fear,negative
19,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_choice_fear.wav,negative_female,fear_female,fear,negative
20,fear_female,TESS,female,/gdrive/MyDrive/Projects/ITCproject/data3/OAF_Fear/OAF_calm_fear.wav,negative_female,fear_female,fear,negative
